customer_id,age,age_group,job,marital,education,default,balance,balance_band,housing,loan,contact,day,month,period,duration,campaign,campaign_band,pdays,previous,poutcome,contacted,engaged,warm_lead,converted,y
C00001,58,50-59,management,married,tertiary,no,2143,1k-4.9k,yes,no,unknown,5,may,2026-05,261,1,1 contact,-1,0,unknown,0,1,1,0,no
C00002,44,40-49,technician,single,secondary,no,29,0-999,yes,no,unknown,5,may,2026-05,151,1,1 contact,-1,0,unknown,0,0,0,0,no
C00003,33,30-39,entrepreneur,married,secondary,no,2,0-999,yes,yes,unknown,5,may,2026-05,76,1,1 contact,-1,0,unknown,0,0,0,0,no
C00004,47,40-49,blue-collar,married,unknown,no,1506,1k-4.9k,yes,no,unknown,5,may,2026-05,92,1,1 contact,-1,0,unknown,0,0,0,0,no
C00005,33,30-39,unknown,single,unknown,no,1,0-999,no,no,unknown,5,may,2026-05,198,1,1 contact,-1,0,unknown,0,1,1,0,no
C00006,35,30-39,management,married,tertiary,no,231,0-999,yes,no,unknown,5,may,2026-05,139,1,1 contact,-1,0,unknown,0,0,0,0,no
C00007,28,18-29,management,single,tertiary,no,447,0-999,yes,yes,unknown,5,may,2026-05,217,1,1 contact,-1,0,unknown,0,1,1,0,no
C00008,42,40-49,entrepreneur,divorced,tertiary,yes,2,0-999,yes,no,unknown,5,may,2026-05,380,1,1 contact,-1,0,unknown,0,1,1,0,no
C00009,58,50-59,retired,married,primary,no,121,0-999,yes,no,unknown,5,may,2026-05,50,1,1 contact,-1,0,unknown,0,0,0,0,no
C00010,43,40-49,technician,single,secondary,no,593,0-999,yes,no,unknown,5,may,2026-05,55,1,1 contact,-1,0,unknown,0,0,0,0,no
C00011,41,40-49,admin.,divorced,secondary,no,270,0-999,yes,no,unknown,5,may,2026-05,222,1,1 contact,-1,0,unknown,0,1,1,0,no
C00012,29,18-29,admin.,single,secondary,no,390,0-999,yes,no,unknown,5,may,2026-05,137,1,1 contact,-1,0,unknown,0,0,0,0,no
C00013,53,50-59,technician,married,secondary,no,6,0-999,yes,no,unknown,5,may,2026-05,517,1,1 contact,-1,0,unknown,0,1,1,0,no
C00014,58,50-59,technician,married,unknown,no,71,0-999,yes,no,unknown,5,may,2026-05,71,1,1 contact,-1,0,unknown,0,0,0,0,no
C00015,57,50-59,services,married,secondary,no,162,0-999,yes,no,unknown,5,may,2026-05,174,1,1 contact,-1,0,unknown,0,0,0,0,no
C00016,51,50-59,retired,married,primary,no,229,0-999,yes,no,unknown,5,may,2026-05,353,1,1 contact,-1,0,unknown,0,1,1,0,no
C00017,45,40-49,admin.,single,unknown,no,13,0-999,yes,no,unknown,5,may,2026-05,98,1,1 contact,-1,0,unknown,0,0,0,0,no
C00018,57,50-59,blue-collar,married,primary,no,52,0-999,yes,no,unknown,5,may,2026-05,38,1,1 contact,-1,0,unknown,0,0,0,0,no
C00019,60,60+,retired,married,primary,no,60,0-999,yes,no,unknown,5,may,2026-05,219,1,1 contact,-1,0,unknown,0,1,1,0,no
C00020,33,30-39,services,married,secondary,no,0,0-999,yes,no,unknown,5,may,2026-05,54,1,1 contact,-1,0,unknown,0,0,0,0,no
C00021,28,18-29,blue-collar,married,secondary,no,723,0-999,yes,yes,unknown,5,may,2026-05,262,1,1 contact,-1,0,unknown,0,1,1,0,no
C00022,56,50-59,management,married,tertiary,no,779,0-999,yes,no,unknown,5,may,2026-05,164,1,1 contact,-1,0,unknown,0,0,0,0,no
C00023,32,30-39,blue-collar,single,primary,no,23,0-999,yes,yes,unknown,5,may,2026-05,160,1,1 contact,-1,0,unknown,0,0,0,0,no
C00024,25,18-29,services,married,secondary,no,50,0-999,yes,no,unknown,5,may,2026-05,342,1,1 contact,-1,0,unknown,0,1,1,0,no
C00025,40,40-49,retired,married,primary,no,0,0-999,yes,yes,unknown,5,may,2026-05,181,1,1 contact,-1,0,unknown,0,1,1,0,no
C00026,44,40-49,admin.,married,secondary,no,-372,Negative,yes,no,unknown,5,may,2026-05,172,1,1 contact,-1,0,unknown,0,0,0,0,no
C00027,39,30-39,management,single,tertiary,no,255,0-999,yes,no,unknown,5,may,2026-05,296,1,1 contact,-1,0,unknown,0,1,1,0,no
C00028,52,50-59,entrepreneur,married,secondary,no,113,0-999,yes,yes,unknown,5,may,2026-05,127,1,1 contact,-1,0,unknown,0,0,0,0,no
C00029,46,40-49,management,single,secondary,no,-246,Negative,yes,no,unknown,5,may,2026-05,255,2,2-3 contacts,-1,0,unknown,0,1,1,0,no
C00030,36,30-39,technician,single,secondary,no,265,0-999,yes,yes,unknown,5,may,2026-05,348,1,1 contact,-1,0,unknown,0,1,1,0,no
C00031,57,50-59,technician,married,secondary,no,839,0-999,no,yes,unknown,5,may,2026-05,225,1,1 contact,-1,0,unknown,0,1,1,0,no
C00032,49,40-49,management,married,tertiary,no,378,0-999,yes,no,unknown,5,may,2026-05,230,1,1 contact,-1,0,unknown,0,1,1,0,no
C00033,60,60+,admin.,married,secondary,no,39,0-999,yes,yes,unknown,5,may,2026-05,208,1,1 contact,-1,0,unknown,0,1,1,0,no
C00034,59,50-59,blue-collar,married,secondary,no,0,0-999,yes,no,unknown,5,may,2026-05,226,1,1 contact,-1,0,unknown,0,1,1,0,no
C00035,51,50-59,management,married,tertiary,no,10635,5k+,yes,no,unknown,5,may,2026-05,336,1,1 contact,-1,0,unknown,0,1,1,0,no
C00036,57,50-59,technician,divorced,secondary,no,63,0-999,yes,no,unknown,5,may,2026-05,242,1,1 contact,-1,0,unknown,0,1,1,0,no
C00037,25,18-29,blue-collar,married,secondary,no,-7,Negative,yes,no,unknown,5,may,2026-05,365,1,1 contact,-1,0,unknown,0,1,1,0,no
C00038,53,50-59,technician,married,secondary,no,-3,Negative,no,no,unknown,5,may,2026-05,1666,1,1 contact,-1,0,unknown,0,1,1,0,no
C00039,36,30-39,admin.,divorced,secondary,no,506,0-999,yes,no,unknown,5,may,2026-05,577,1,1 contact,-1,0,unknown,0,1,1,0,no
C00040,37,30-39,admin.,single,secondary,no,0,0-999,yes,no,unknown,5,may,2026-05,137,1,1 contact,-1,0,unknown,0,0,0,0,no
C00041,44,40-49,services,divorced,secondary,no,2586,1k-4.9k,yes,no,unknown,5,may,2026-05,160,1,1 contact,-1,0,unknown,0,0,0,0,no
